"","ac
        type","cn / ln","date","fatalities","flight #","ground","location","operator","registration","route","summary","time"
"4181","Lockheed C-130B Hercules","3781","September 10, 1998","5   (passengers:0  crew:5)","?","0","Islamabad, Pakistan","Military - Pakistan Air Force","24143","?","The aircraft was returning to a ramp with it's brakes on fire when it struck another aircraft and caught fire.","?"
"4182","British Aerospace BAe-146-100","E1007","September 25, 1998","38   (passengers:34  crew:4)","4101","0","Near Nador, Morroco","Paukn Air","EC-GEO","Malaga - Melilla","The aircraft crashed into a hill in a forest 20 miles north of Nador and 12 miles from its destination as it made an approach for Melilla. Controlled flight into terrain.","0900"
"4183","de Havilland Canada DHC-6 Twin Otter 300","550","September 28, 1998","1   (passengers:1  crew:0)","?","0","Praia, Cape Verde","Cabo Verde Airlines","D4-CAX","Sao Nicolau - Praia","The aircraft crashed to the ground while making a final turn for landing in low clouds, reduced visibility and strong, rapidly veering wind conditions associated with the approach of a severe thunderstorm.","1330"
"4184","Antonov AN-24RV","27307901","September 29, 1998","55   (passengers:48  crew:7)","602","0","Off Mannar, Sri Lanka","Lionair","EW-46465","Jaffna - Colombo","Ten minutes after taking off from Jaffna, the plane disappeared from radar. The aircraft crashed into the sea 35 nm north of Mannar. The plane was shot down by LTTE (Liberation Tigers of Tamil Eelam) rebels.","1350"
"4185","Douglas DC-3C","1977","October 02, 1998","1   (passengers:0  crew:1)","?","0","Near Canaima, Venezuela","Servivensa","YV-611C","Sighteeing","The sightseeing plane, after a flight over Angel Falls, crashed short of the runway into a swamp.","0945"
"4186","Boeing B-727-30","18369/125","October 10, 1998","41   (passengers:38  crew:3)","?","0","Near Kindu, Congo","Congo Airline","9Q-CSG","Kindu - Kinshasa","The aircraft crashed into the jungle after the rear engine was hit by a Russian  SA-7 missile, fired by Tutsi rebel forces shortly after the plane took off from Kindu Airport bound for Kinshasa.","?"
"4187","Yakovlev YAK-40","9721053","October 21, 1998","0   (passengers:0  crew:0)","?","4","Yerevan, Armenia","Ararat Avia","EK-88272","Yerevan - Krasnodar","While attempting to take off, the aircraft struck a military bus as it crossed the runway.","1351"
"4188","Britten-Norman BN-2A-3 Islander","284","October 25, 1998","4   (passengers:3  crew:1)","?","0","Rwenzori mountains, Uganda","TanaMana Aviation","5Y-ANV","Entebbe - Kasese","Crashed in the Rwenzori mountains.","?"
"4189","Douglas DC-3C","20562","November 01, 1998","11   (passengers:9  crew:2)","?","0","Near Quetzaltenango, Guatemala","Living Water Teaching Ministries Charter","N3FY","Plaa Grande - Quetzaltenango","The aircraft crashed into mountainous terrain in fog and rain 44 minutes after leaving Playa Grande, Guatemala. The plane was returning from doing a medical clinic for 3 days in the remote jungles of Playa Grande where no one had seen a doctor before.","1314"
"4190","Antonov AN-12","08345506","November 11, 1998","13   (passengers:7  crew:6)","?","0","Near Krasnoyarsk, Russia","Sakha Airlines","RA-12955","Krasnoyarsk - Mirny","The aircraft, carrying freight and seven passengers, crashed and burned, 25 km from Krasnoyarsk, 4 minutes after taking off in a snowstorm. Icing.","1122"
"4191","Burgess RV-6 experimental","21119","November 21, 1998","1   (passengers:0  crew:1)","?","0","Edgewater, Maryland","Private","N956DB","Brunswick, GA - Annapolis, MD","The homebuilt plane was attempting to land at Lee Airport in Maryland when it crashed into Beard's Creek.  coming to rest  inverted in 18 feet of water. Actor, William Gardner Knight, 56, who was piloting the aircraft was killed. The pilot's failure to maintain adequate altitude/clearance from the trees. Contributing to the accident was the pilot's unfamiliarity with the geographic location and dark night conditions.","1743"
"4192","Britten-Norman Trislander","2028","December 07, 1998","7   (passengers:6  crew:1)","?","0","Baie-Comeau, Canada","Air Satellite","C-FCVK","Point-Lebel - Rimouski","The aircraft crashed into the St. Lawrence River in shallow water, 2km from the runway after taking off from Point-Lebel.","11:3"
"4193","Airbus A-310-204","415","December 11, 1998","102   (passengers:91  crew:11)","261","0","Near Surat Thani, Thailand","Thai Airways","HS-TIA","Bangkok - Surat Thani","The plane crashed 2 miles southwest of Surat Thani Airport. The accident occurred in poor visibility and heavy rain. After a third landing attempt, the plane could not gain altitude and crashed into a paddy field. First reports suggest the aircraft stalled and pancaked into the ground tail first. Spatial disorientation when the nose pitched up sharply during a nighttime approach in stormy weather. Pilot error.","1910"
"4194","Antonov AN-12BP","4342510","December 14, 1998","11   (passengers:6  crew:5)","?","0","Near Cuito, Angola","Khors Aircompany","UR-11319","?","The leased aircraft was shot down by UNITA rebels as it flew at FL 150 carrying relief supplies.","?"
"4195","Antonov 12","12357","December 17, 1998","1   (passengers:?  crew:?)","?","0","Saurimo, Angola","Zanex","S9-SAT","Luanda - Saurimo","After encountering a vehicle on the runway, the crew attempted a go-around but the aircraft touched down in a nose-high attitude and crashed.","?"
"4196","Antonov 32B","3309","December 22, 1998","5   (passengers:2  crew:3)","?","0","Medellín, Colombia","SELVA","HK-3930X","Bogotá - Medellín","The cargo plane crashed in fog and poor visibility while attempting to land.","0015"
"4197","Lockheed Martin L-100-30 Hercules","4561","December 26, 1998","14   (passengers:10  crew:4)","806","0","Vila Nova, Angola","Transafrik","S9-CAO","Huambo - Saurimo","The plane crashed in dense jungle, 25 km from the departure town of Huambo. Heavy fighting was reported between government forces and UNITA rebels at the time of the crash.","1200"
"4198","Lockheed L-100-30 Hercules","4839","January 02, 1999","9   (passengers:5  crew:4)","?","0","Near Huambo, Angola","Transafrik - United Nations Charter","D2-EHD","Huambo - Luanda","he United Nations-chartered plane was shot down by UNITA rebels, 20 minutes after takeoff from Huambo.","?"
"4199","Fokker F-27 Friendship 600","10508","January 12, 1999","2   (passengers:0  crew:2)","?","0","Guernsey, Channel Islands, England","Channel Express","G-CHNL","London - Guernsey","During approach the cargo planel,assumed a nose-high attitude, stalled, hit a house and crashed into a field short of the runway. The aircraft was operated outside the load and balance limitations","1700"
"4200","Boeing KC-135E","17940/355","January 13, 1999","4   (passengers:0  crew:4)","?","0","Geilenkirchen, Germany","Military - German Air National Guard","59-1452","Refueling","After completing an air refueling mission the plane pitched upward, stalled and crashed.","?"
"4201","Douglas DC-3C","32963","January 13, 1999","2   (passengers:0  crew:2)","?","0","Mayne Island, British Columbia, Canada","Kelowna Flightcraft Air Charter","C-GWUG","Vancouver - Victoria","Shortly after taking off, the cargo plane began to lose altitude until it hit trees, went off a cliff and crashed to a valley floor. The accident flight was not conducted in accordance with the night obstacle clearance requirements of Canadian Aviation Regulation. The Kelowna Flightcraft company operations manual did not reflect the restrictive conditions imposed on night visual flight rules (VFR) flight by CAR 705.32. Such information might have prevented the accident by ensuring the crew's awareness of those night obstacle clearance standards.","0633"
"4202","Britten Norman BN-2A-26","763","January 16, 1999","3   (passengers:2  crew:1)","?","0","Coconut Island, QLD, Australia","Uzu Air","VH-XFF","Horn Island - Coconut Island","After initiating a go-around, the aircraft veered left and commenced a shallow climb before suddenly rolling right and descending steeply onto a tidal flat. The pilot initiated a go-around from final approach because of a vehicle on the airstrip. The left propeller showed little evidence of rotation damage. The reason for a possible loss of left engine power could not be determined. For reasons that could not be established, the pilot lost control of the aircraft at a low height.","1430"
"4203","Antonov AN-26","?","January 21, 1999","28   (passengers:21  crew:7)","?","0","Bluefields, Nicaragua","Fuerza Aérea Nicaragua","?","Managua - Bluefields","The plane, on a relief mission to Bluefields was waved off from landing because of a blocked runway. While navigating around for another landing attempt, the aircraft crashed into mountainous terrain.","0810"
"4204","Antonov AN-12","3340909","February 02, 1999","14   (passengers:10  crew:4)","?","13","Luanda, Angola","Savannair","EL-ASS","Luanda - Lucapa","The plane was on a flight to Lucapa, when it was forced to return to Luanda due to engine trouble. While approaching Luanda, the aircraft crashed into the Cazenga district of Luanda destroying five houses.","0508"
"4205","Britten Norman BN-2A Trislander","761","February 03, 1999","11   (passengers:10  crew:1)","?","0","Hoskins, Papua New Guinea","Airlink","P2-ALH","Hoskins - Kandrian","The aircraft crashed 15 minutes after taking off from Hoskins en route to Kandrian. The aircraft broke-up in midair after encountering severe weather and crashed into a oil palm plantation in flat terrain.","1020"
"4206","Lockheed L-188A Electra","1037","February 08, 1999","7   (passengers:0  crew:7)","?","0","Kinshasa,  Democratic Republic Congo","Air Karibu","9Q-CDI","Kinshasa - Mbandaka","After taking off, the cargo plane lost the No. 3 engine. The crew tried to return to the airport but the plane lost altitude and crashed.","?"
